LLM,Strategy,Count,Avg_CHRF,Min_CHRF,Max_CHRF
claude-sonnet-4,few_shot,10,74.66,58.84,100.0
claude-sonnet-4,few_shots_AND_grammar,10,74.19,55.39,100.0
claude-sonnet-4,grammar,10,62.01,48.68,78.05
claude-sonnet-4,only_prompt,10,61.1,44.36,78.05
gemini-2-5-pro,few_shot,10,71.4,55.83,91.57
gemini-2-5-pro,few_shots_AND_grammar,10,70.68,57.36,86.81
gemini-2-5-pro,grammar,10,62.86,50.12,79.33
gemini-2-5-pro,only_prompt,10,60.54,50.46,74.46
gpt-5,few_shot,10,73.95,60.43,91.57
gpt-5,few_shots_AND_grammar,10,75.19,59.25,91.57
gpt-5,grammar,10,62.82,47.61,76.79
gpt-5,only_prompt,10,64.1,51.67,79.02
OVERALL,,120,67.79,44.36,100.0
